community_id,community_size,community_flavor,key,title,author,total_degree,out_mentions,in_mentions
1,106,neighborhood,thomas-moore/lalla-rookh,Lalla Rookh,Thomas Moore,1,0,1
1,106,neighborhood,thomas-moore/political-poems,Political Poems,Thomas Moore,1,0,1
1,106,neighborhood,tomas-sanchez/disputationes-de-sancto-matrimonio,Disputationes de Sancto Matrimonio,Tomás Sánchez,1,0,1
1,106,neighborhood,walter-scott/anne-of-geierstein,Anne of Geierstein,Walter Scott,1,0,1
1,106,neighborhood,walter-scott/the-pirate,The Pirate,Walter Scott,1,0,1
1,106,neighborhood,washington-irving/the-sketch-book-of-geoffrey-crayon,The Sketch Book of Geoffrey Crayon,Washington Irving,1,0,1
1,106,neighborhood,william-belsham/belsham-s-essays,Belsham's Essays,William Belsham,1,0,1
1,106,neighborhood,william-cowper/john-gilpin,John Gilpin,William Cowper,1,0,1
1,106,neighborhood,william-dampier/a-new-voyage-round-the-world,A New Voyage Round the World,William Dampier,1,0,1
1,106,neighborhood,william-dean-howells/a-foregone-conclusion,A Foregone Conclusion,William Dean Howells,1,0,1
2,81,neighborhood,daniel-defoe/robinson-crusoe,Robinson Crusoe,Daniel Defoe,33,0,33
2,81,neighborhood,henry-adams/the-education-of-henry-adams,The Education of Henry Adams,Henry Adams,27,27,0
2,81,neighborhood,charles-darwin/the-voyage-of-the-beagle,The Voyage of the Beagle,Charles Darwin,17,16,1
2,81,neighborhood,charles-dickens/david-copperfield,David Copperfield,Charles Dickens,15,11,4
2,81,neighborhood,jack-london/the-valley-of-the-moon,The Valley of the Moon,Jack London,8,8,0
2,81,neighborhood,richard-henry-dana/two-years-before-the-mast,Two Years Before the Mast,Richard Henry Dana,8,8,0
2,81,neighborhood,willa-cather/my-antonia,My Ántonia,Willa Cather,7,7,0
2,81,neighborhood,henry-fielding/tom-jones,Tom Jones,Henry Fielding,6,0,6
2,81,neighborhood,willa-cather/o-pioneers,O Pioneers!,Willa Cather,5,5,0
2,81,neighborhood,mark-twain/a-connecticut-yankee-in-king-arthur-s-court,A Connecticut Yankee in King Arthur's Court,Mark Twain,4,4,0
2,81,neighborhood,johann-david-wyss/the-swiss-family-robinson,The Swiss Family Robinson,Johann David Wyss,3,0,3
2,81,neighborhood,mikhail-lermontov/a-hero-of-our-time,A Hero of Our Time,Mikhail Lermontov,3,3,0
2,81,neighborhood,walter-scott/the-talisman,The Talisman,Walter Scott,3,2,1
2,81,neighborhood,wilkie-collins/the-moonstone,The Moonstone,Wilkie Collins,3,2,1
2,81,neighborhood,algernon-charles-swinburne/atalanta-in-calydon,Atalanta in Calydon,Algernon Charles Swinburne,2,0,2
2,81,neighborhood,anthony-trollope/the-way-we-live-now,The Way We Live Now,Anthony Trollope,2,2,0
2,81,neighborhood,augustine-of-hippo/confessions,Confessions,Augustine of Hippo,2,0,2
